"Date","Price","Open","High","Low","Change %"
"Oct 02, 2017","1.3277","1.3389","1.3404","1.3255","-0.90%"
"Sep 29, 2017","1.3397","1.3441","1.3446","1.3349","-0.33%"
"Sep 28, 2017","1.3442","1.3386","1.3458","1.3343","0.41%"
"Sep 27, 2017","1.3387","1.3459","1.3464","1.3364","-0.53%"
"Sep 26, 2017","1.3458","1.3467","1.3517","1.3410","-0.07%"
"Sep 25, 2017","1.3467","1.3493","1.3572","1.3431","-0.19%"
"Sep 22, 2017","1.3493","1.3581","1.3597","1.3450","-0.63%"
"Sep 21, 2017","1.3579","1.3493","1.3587","1.3470","0.63%"
"Sep 20, 2017","1.3494","1.3510","1.3658","1.3452","-0.11%"
"Sep 19, 2017","1.3509","1.3495","1.3553","1.3469","0.11%"
"Sep 18, 2017","1.3494","1.3576","1.3620","1.3465","-0.73%"
"Sep 15, 2017","1.3593","1.3398","1.3617","1.3381","1.46%"
"Sep 14, 2017","1.3397","1.3211","1.3407","1.3162","1.41%"
"Sep 13, 2017","1.3211","1.3284","1.3330","1.3185","-0.55%"
"Sep 12, 2017","1.3284","1.3163","1.3300","1.3160","0.92%"
"Sep 11, 2017","1.3163","1.3203","1.3223","1.3159","-0.27%"
"Sep 08, 2017","1.3198","1.3100","1.3225","1.3093","0.74%"
"Sep 07, 2017","1.3101","1.3043","1.3117","1.3032","0.44%"
"Sep 06, 2017","1.3043","1.3032","1.3084","1.3018","0.08%"
"Sep 05, 2017","1.3033","1.2927","1.3044","1.2909","0.78%"
"Sep 04, 2017","1.2932","1.2958","1.2967","1.2911","-0.15%"
"Sep 01, 2017","1.2951","1.2931","1.2996","1.2904","0.15%"
"Aug 31, 2017","1.2931","1.2928","1.2935","1.2851","0.04%"
"Aug 30, 2017","1.2926","1.2918","1.2939","1.2877","0.05%"
"Aug 29, 2017","1.2920","1.2931","1.2979","1.2914","-0.10%"
"Aug 28, 2017","1.2933","1.2902","1.2948","1.2873","0.36%"
"Aug 25, 2017","1.2887","1.2799","1.2891","1.2793","0.68%"
"Aug 24, 2017","1.2800","1.2796","1.2837","1.2771","0.00%"
"Aug 23, 2017","1.2800","1.2824","1.2835","1.2779","-0.19%"
"Aug 22, 2017","1.2824","1.2897","1.2910","1.2809","-0.60%"
"Aug 21, 2017","1.2901","1.2870","1.2918","1.2849","0.19%"
"Aug 18, 2017","1.2876","1.2869","1.2920","1.2834","0.05%"
"Aug 17, 2017","1.2869","1.2894","1.2914","1.2855","-0.16%"
"Aug 16, 2017","1.2890","1.2870","1.2905","1.2842","0.16%"
"Aug 15, 2017","1.2870","1.2964","1.2971","1.2845","-0.73%"
"Aug 14, 2017","1.2965","1.2994","1.3024","1.2957","-0.36%"
"Aug 11, 2017","1.3012","1.2976","1.3031","1.2938","0.29%"
"Aug 10, 2017","1.2975","1.3000","1.3017","1.2951","-0.23%"
"Aug 09, 2017","1.3005","1.2989","1.3029","1.2966","0.11%"
"Aug 08, 2017","1.2991","1.3035","1.3055","1.2952","-0.34%"
"Aug 07, 2017","1.3035","1.3028","1.3063","1.3014","-0.01%"
"Aug 04, 2017","1.3036","1.3135","1.3166","1.3022","-0.78%"
"Aug 03, 2017","1.3139","1.3221","1.3266","1.3112","-0.64%"
"Aug 02, 2017","1.3223","1.3203","1.3252","1.3189","0.15%"
"Aug 01, 2017","1.3203","1.3216","1.3249","1.3193","-0.08%"
"Jul 31, 2017","1.3214","1.3131","1.3225","1.3096","0.60%"
"Jul 28, 2017","1.3135","1.3067","1.3155","1.3060","0.52%"
"Jul 27, 2017","1.3067","1.3119","1.3157","1.3052","-0.41%"
"Jul 26, 2017","1.3121","1.3021","1.3125","1.3001","0.73%"
"Jul 25, 2017","1.3026","1.3030","1.3086","1.3007","-0.02%"
"Jul 24, 2017","1.3029","1.2986","1.3058","1.2986","0.26%"
"Jul 21, 2017","1.2995","1.2975","1.3023","1.2954","0.16%"
"Jul 20, 2017","1.2974","1.3024","1.3038","1.2934","-0.34%"
"Jul 19, 2017","1.3018","1.3037","1.3053","1.3009","-0.17%"
"Jul 18, 2017","1.3040","1.3057","1.3127","1.3004","-0.11%"
"Jul 17, 2017","1.3055","1.3100","1.3113","1.3045","-0.31%"
"Jul 14, 2017","1.3096","1.2935","1.3115","1.2933","1.21%"
"Jul 13, 2017","1.2939","1.2887","1.2958","1.2879","0.42%"
"Jul 12, 2017","1.2885","1.2848","1.2908","1.2811","0.28%"
"Jul 11, 2017","1.2849","1.2885","1.2932","1.2833","-0.23%"
"Jul 10, 2017","1.2879","1.2886","1.2912","1.2857","-0.10%"
"Jul 07, 2017","1.2892","1.2969","1.2977","1.2867","-0.61%"
"Jul 06, 2017","1.2971","1.2936","1.2984","1.2919","0.28%"
"Jul 05, 2017","1.2935","1.2917","1.2950","1.2892","0.12%"
"Jul 04, 2017","1.2920","1.2940","1.2962","1.2913","-0.13%"
"Jul 03, 2017","1.2937","1.3011","1.3024","1.2930","-0.69%"
"Jun 30, 2017","1.3027","1.3005","1.3032","1.2948","0.16%"
"Jun 29, 2017","1.3006","1.2923","1.3013","1.2919","0.62%"
"Jun 28, 2017","1.2926","1.2817","1.2974","1.2792","0.86%"
"Jun 27, 2017","1.2816","1.2723","1.2860","1.2716","0.75%"
"Jun 26, 2017","1.2721","1.2729","1.2760","1.2704","0.02%"
"Jun 23, 2017","1.2718","1.2681","1.2745","1.2673","0.28%"
"Jun 22, 2017","1.2682","1.2670","1.2692","1.2652","0.09%"
"Jun 21, 2017","1.2671","1.2631","1.2712","1.2591","0.32%"
"Jun 20, 2017","1.2631","1.2732","1.2758","1.2603","-0.82%"
"Jun 19, 2017","1.2736","1.2787","1.2817","1.2724","-0.31%"
"Jun 16, 2017","1.2776","1.2754","1.2806","1.2748","0.16%"
"Jun 15, 2017","1.2755","1.2750","1.2796","1.2689","0.02%"
"Jun 14, 2017","1.2752","1.2755","1.2818","1.2722","-0.01%"
"Jun 13, 2017","1.2753","1.2660","1.2759","1.2642","0.77%"
"Jun 12, 2017","1.2656","1.2731","1.2771","1.2637","-0.70%"
"Jun 09, 2017","1.2745","1.2958","1.2964","1.2637","-1.61%"
"Jun 08, 2017","1.2953","1.2961","1.2979","1.2907","-0.06%"
"Jun 07, 2017","1.2961","1.2912","1.2969","1.2887","0.39%"
"Jun 06, 2017","1.2911","1.2905","1.2953","1.2874","0.06%"
"Jun 05, 2017","1.2903","1.2850","1.2942","1.2847","0.12%"
"Jun 02, 2017","1.2887","1.2881","1.2908","1.2849","0.05%"
"Jun 01, 2017","1.2881","1.2889","1.2916","1.2830","-0.07%"
"May 31, 2017","1.2890","1.2859","1.2921","1.2769","0.25%"
"May 30, 2017","1.2858","1.2837","1.2890","1.2792","0.13%"
"May 29, 2017","1.2841","1.2807","1.2853","1.2791","0.29%"
"May 26, 2017","1.2804","1.2942","1.2949","1.2773","-1.05%"
